ID: 523, Name: brm-trm-bg2-04
ID: 524, Name: brm-trm-btc01
ID: 525, Name: brm-trm-btc02
ID: 526, Name: brm-trm-btc03
ID: 628, Name: brm-vrs-34
ID: 629, Name: brm-vrs-35
ID: 632, Name: brm-vrs-38
ID: 633, Name: brm-vrs-39
ID: 680, Name: d3dbap02
ID: 672, Name: btcgray
ID: 673, Name: btcmon01
ID: 674, Name: btcmon02
ID: 675, Name: btctssa01
ID: 648, Name: brm-vrs-dmzot01
ID: 649, Name: brm-vrs-dmzot02
ID: 650, Name: brm-vrs-dmzot03
ID: 651, Name: brm-vrs-dmzot05
ID: 658, Name: brm-vrs-wwl1-01
ID: 659, Name: brm-vrs-wwl1-02
ID: 660, Name: brm-vrs-wwl1-03
ID: 661, Name: brm-vrs-wwl1-04
ID: 662, Name: brm-ws-admgmt01
ID: 663, Name: brm-ws-admgmt02
ID: 664, Name: brm-ws-admgmt03
ID: 688, Name: doreca
ID: 693, Name: eaf1ve01
ID: 694, Name: eaf1vp01
ID: 709, Name: evsdb02
ID: 728, Name: hoprzdb01
ID: 729, Name: hoprzdb02
ID: 735, Name: ibixdb01
ID: 736, Name: ibixdb02
ID: 740, Name: intrexxprd01
ID: 765, Name: kwve01
ID: 773, Name: ldprddb03
ID: 774, Name: ldprddb04
ID: 781, Name: logtomsvp01
ID: 782, Name: logtrvedb01
ID: 783, Name: logtrvedb02
ID: 785, Name: logve01
ID: 786, Name: logvt01
ID: 787, Name: lpar2rrd
ID: 790, Name: maxve04
ID: 796, Name: maxvp07
ID: 798, Name: maxvt02
ID: 843, Name: qsdbat02
ID: 854, Name: rzdpgrevp03
ID: 855, Name: rzdpgrevp04
ID: 857, Name: rzdpvp02
ID: 879, Name: saprouter01
ID: 880, Name: sapsol
ID: 899, Name: tah-wiki
ID: 922, Name: wwafdb01
ID: 923, Name: wwafdb02
ID: 925, Name: wwafvp01
ID: 926, Name: wwafvt01
ID: 928, Name: wwarve02
ID: 930, Name: wwarvp02
ID: 932, Name: wwclvp02
ID: 933, Name: wwctcdb01
ID: 934, Name: wwctcdb02
ID: 936, Name: wwctcvp01
ID: 937, Name: wwctcvt01
ID: 938, Name: wwdb01
ID: 939, Name: wwdb02
ID: 2130, Name: D3DBAT02
ID: 2119, Name: BRM-VRS-VDI01
ID: 2143, Name: EMSVP02
ID: 2139, Name: DWH5
ID: 708, Name: evsdb01
ID: 2153, Name: GMSVE01
